# tracer: nop
#
# entries-in-buffer/entries-written: 14477/14477   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
  kworker/u64:14-427867  [007] ..... 24997.954342: smbus_result: i2c-11 a=02c f=0000 c=87 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.954343: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
  kworker/u64:14-427867  [007] ..... 24997.955358: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=3 [02-00-00]
  kworker/u64:14-427867  [007] ..... 24997.955359: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
  kworker/u64:14-427867  [007] ..... 24997.955363: smbus_write: i2c-11 a=02c f=0040 c=80 BLOCK_DATA l=5 [04-14-00-01-01]
  kworker/u64:14-427867  [007] ..... 24997.956338: smbus_result: i2c-11 a=02c f=0000 c=80 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.956339: smbus_write: i2c-11 a=02c f=0040 c=0 BLOCK_DATA l=2 [01-81]
  kworker/u64:14-427867  [007] ..... 24997.957336: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.957337: smbus_write: i2c-11 a=02c f=0040 c=81 BLOCK_DATA l=5 [04-17-00-01-01]
  kworker/u64:14-427867  [007] ..... 24997.958337: smbus_result: i2c-11 a=02c f=0000 c=81 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.958338: smbus_write: i2c-11 a=02c f=0040 c=1 BLOCK_DATA l=2 [01-03]
  kworker/u64:14-427867  [007] ..... 24997.959337: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.959338: smbus_write: i2c-11 a=02c f=0040 c=82 BLOCK_DATA l=5 [04-18-00-01-01]
  kworker/u64:14-427867  [007] ..... 24997.960336: smbus_result: i2c-11 a=02c f=0000 c=82 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.960337: smbus_write: i2c-11 a=02c f=0040 c=2 BLOCK_DATA l=2 [01-2d]
  kworker/u64:14-427867  [007] ..... 24997.961336: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.961337: smbus_write: i2c-11 a=02c f=0040 c=83 BLOCK_DATA l=5 [04-19-00-01-01]
  kworker/u64:14-427867  [007] ..... 24997.962341: smbus_result: i2c-11 a=02c f=0000 c=83 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.962342: smbus_write: i2c-11 a=02c f=0040 c=3 BLOCK_DATA l=2 [01-00]
  kworker/u64:14-427867  [007] ..... 24997.963336: smbus_result: i2c-11 a=02c f=0000 c=3 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.963338: smbus_write: i2c-11 a=02c f=0040 c=84 BLOCK_DATA l=5 [04-15-00-02-01]
  kworker/u64:14-427867  [007] ..... 24997.964340: smbus_result: i2c-11 a=02c f=0000 c=84 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.964341: smbus_write: i2c-11 a=02c f=0040 c=4 BLOCK_DATA l=3 [02-08-00]
  kworker/u64:14-427867  [007] ..... 24997.965337: smbus_result: i2c-11 a=02c f=0000 c=4 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.965338: smbus_write: i2c-11 a=02c f=0040 c=4 BLOCK_DATA l=3 [02-08-00]
  kworker/u64:14-427867  [007] ..... 24997.966339: smbus_result: i2c-11 a=02c f=0000 c=4 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.966343: smbus_write: i2c-11 a=02c f=0040 c=4 BLOCK_DATA l=3 [02-48-00]
  kworker/u64:14-427867  [007] ..... 24997.967337: smbus_result: i2c-11 a=02c f=0000 c=4 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.967338: smbus_write: i2c-11 a=02c f=0040 c=4 BLOCK_DATA l=3 [02-c8-00]
  kworker/u64:14-427867  [007] ..... 24997.968338: smbus_result: i2c-11 a=02c f=0000 c=4 BLOCK_DATA wr res=0
  kworker/u64:14-427867  [007] ..... 24997.968341: smbus_write: i2c-11 a=02c f=0040 c=0 BLOCK_DATA l=2 [01-80]
  kworker/u64:14-427867  [007] ..... 24997.969339: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA wr res=0
     kworker/2:1-476312  [002] ..... 24998.773649: smbus_write: i2c-11 a=02c f=0040 c=85 BLOCK_DATA l=5 [04-01-02-01-01]
   systemd-sleep-476241  [002] ..... 24998.773852: suspend_resume: dpm_resume[16] end
   systemd-sleep-476241  [002] ..... 24998.773853: suspend_resume: dpm_complete[16] begin
   systemd-sleep-476241  [002] ..... 24998.774545: suspend_resume: dpm_complete[16] end
   systemd-sleep-476241  [002] ..... 24998.774550: suspend_resume: console_resume_all[3] begin
     kworker/2:1-476312  [002] ..... 24998.774717: smbus_result: i2c-11 a=02c f=0000 c=85 BLOCK_DATA wr res=0
     kworker/2:1-476312  [002] ..... 24998.774720: smbus_write: i2c-11 a=02c f=0040 c=5 BLOCK_DATA l=2 [01-e1]
   systemd-sleep-476241  [003] ..... 24998.774789: suspend_resume: console_resume_all[3] end
   systemd-sleep-476241  [003] ..... 24998.774910: suspend_resume: thaw_processes[0] begin
     kworker/2:1-476312  [002] ..... 24998.775857: smbus_result: i2c-11 a=02c f=0000 c=5 BLOCK_DATA wr res=0
   systemd-sleep-476241  [002] ..... 24998.781141: suspend_resume: thaw_processes[0] end
 irq/95-rmi4_smb-439863  [009] ..... 24998.788571: smbus_write: i2c-11 a=02c f=0040 c=86 BLOCK_DATA l=5 [04-07-00-02-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.790546: smbus_result: i2c-11 a=02c f=0000 c=86 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.790549: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [009] ..... 24998.792200: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-86-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.792201: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.792206: smbus_write: i2c-11 a=02c f=0040 c=87 BLOCK_DATA l=5 [04-03-02-0e-00]
 irq/95-rmi4_smb-439863  [009] ..... 24998.793949: smbus_result: i2c-11 a=02c f=0000 c=87 BLOCK_DATA wr res=0
 irq/95-rmi4_smb-439863  [009] ..... 24998.793951: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
