# tracer: nop
#
# entries-in-buffer/entries-written: 13608/13608   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 irq/95-rmi4_smb-439863  [015] ..... 25140.230251: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.234124: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.234126: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.234129: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.236688: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.236689: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.239717: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.240937: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.240939: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.240943: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.244746: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-01-25-01-e0-00-48-05-05-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.244748: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.244751: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.248647: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.248650: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.248653: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.251202: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.251204: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.254553: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.255646: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.255647: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.255652: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.259748: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-01-26-01-e0-00-46-05-05-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.259749: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.259752: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.263649: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.263651: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.263654: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.266215: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.266217: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.269334: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.270565: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.270567: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.270573: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.274745: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-01-26-01-e0-00-3e-04-04-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.274747: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.274749: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.278658: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.278660: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.278662: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.281207: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.281209: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.283945: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.285187: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.285188: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.285193: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.289089: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-01-26-01-e0-00-25-01-02-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.289091: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.289094: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.293085: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.293088: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.293091: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.295701: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.295703: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.301327: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.302586: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.302587: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.302591: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.306771: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.306776: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.306780: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.310722: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.310724: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.310728: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.313030: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.313031: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.363025: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.364176: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.364177: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.364180: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.366693: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=15 [0e-01-09-01-00-01-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.366694: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.434363: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.435612: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-80-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.435613: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.435616: smbus_read: i2c-11 a=02c f=0040 c=7 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.437691: smbus_reply: i2c-11 a=02c f=0000 c=7 BLOCK_DATA l=15 [0e-01-08-01-00-01-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.437692: smbus_result: i2c-11 a=02c f=0000 c=7 BLOCK_DATA rd res=0
   systemd-sleep-485341  [000] ..... 25140.888855: suspend_resume: suspend_enter[3] begin
   systemd-sleep-485341  [000] ..... 25140.888857: suspend_resume: sync_filesystems[0] begin
